gene_symbol,cortical plate,intermediate zone,marginal zone,subpial granular zone,subplate zone,subventricular zone,ventricular zone
61E3.4,6480,19165,20588,13140,11495,1374,2317
A1BG,18647,14585,14819,7261,18083,650,4072
A1CF,14353,9020,18842,6218,6272,8945,9629
A2LD1,1235,6257,3525,17251,3053,19548,16944
A2M,352,18254,12223,19262,7429,10883,8599
A2ML1,3743,16532,16787,4623,1059,17778,15304
A3GALT2P,8254,4321,14116,16824,13235,8115,7218
A4GALT,1587,17146,9024,20246,6646,8709,7421
A4GNT,16653,7918,7216,3096,13124,17261,8253
AAAS,5955,7961,8350,8755,283,20300,17668
AACS,19885,8976,12117,1416,17977,8550,6974
AADAC,5857,9621,18316,15641,10419,9534,5991
AADACL2,6123,8324,4796,20451,4542,8145,10402
AADACL3,13772,11358,20208,1601,12023,11111,5182
AADACL4,13520,1416,12582,10847,12125,10690,11529
AADAT,17863,12130,17200,3684,17791,4168,3996
AAED1,6777,2463,832,14000,2842,17463,20543
AAGAB,19133,19245,13321,4434,13462,861,6825
AAK1,14044,18732,12667,8111,9220,5005,7872
AAMP,16508,1738,92,6623,15366,14994,17118
AANAT,17791,5876,11122,4747,9561,12206,11553
AARD,18164,13582,10146,3732,20235,1194,7690
AARS,20024,9818,263,3305,15721,12616,13384
AARS2,12966,11752,20525,14301,5434,1242,4430
AARSD1,19796,13233,12127,4544,19652,2986,3189
AASDH,7101,12807,6836,8606,7294,15548,14980
AASDHPPT,17765,17112,12964,7096,19831,1965,1149
AASS,1712,8817,2944,17106,2557,17945,17494
AATF,9404,10726,3967,9768,4961,18495,13553
AATK,17161,13991,17387,3405,19340,3364,2786
ABAT,11199,9359,13895,37,17226,11456,15626
ABCA1,1812,12383,3802,19676,3781,9516,16144
ABCA10,16428,727,16656,15664,11205,3980,7186
ABCA11P,7958,4389,12537,9491,10943,15071,12746
ABCA12,6738,6707,19925,19365,3866,4133,5124
ABCA13,3133,9173,11234,18324,4604,7027,15658
ABCA17P,13858,14715,15754,16144,18230,574,272
ABCA2,15630,15049,7766,1237,20101,12988,4227
ABCA3,18938,14956,16735,4723,18278,2111,2279
ABCA4,2596,4493,10083,20567,6453,7095,12166
ABCA5,12557,10653,15001,17479,15611,5,7233
ABCA6,11239,6297,12876,19909,12499,1559,3080
ABCA7,7423,17091,12352,9433,10772,12699,8342
ABCA8,9391,2831,7198,20188,12122,4114,7445
ABCA9,5023,8345,12993,20707,4626,6063,5746
ABCB1,977,15572,15002,19782,3055,10987,8207
ABCB10,7368,2131,18175,7952,3452,12122,17872
ABCB11,3247,7868,1460,9305,6062,20043,20081
ABCB4,5728,3110,5042,9260,3022,20605,17875
ABCB5,8551,5005,16739,19244,5767,6997,5435
ABCB6,3393,6014,3031,17872,3958,16562,15874
ABCB7,2580,4710,17351,10495,609,17113,18628
ABCB8,19703,7077,18357,4950,12235,4895,6133
ABCB9,19189,11971,7816,1443,18767,14027,3849
ABCC1,20407,3343,10258,2717,11141,7613,14382
ABCC10,20695,9445,10719,11248,15878,1948,3111
ABCC11,14783,13596,20041,7242,11243,4324,3206
ABCC12,15708,16397,15044,1668,20102,6228,2701
ABCC13,2390,7533,13599,20169,4659,7856,11242
ABCC2,15196,2864,10781,3846,11576,7868,17064
ABCC3,12072,13512,11957,7043,9508,10658,10904
ABCC4,3186,4498,5953,16470,1050,19985,15761
ABCC5,16657,11437,9874,9509,7698,5288,12313
ABCC6,3542,11032,9587,15218,2886,7970,19689
ABCC8,18152,14023,10717,4377,19834,3069,5125
ABCC9,43,17688,10325,15282,4925,15789,15888
ABCD1,12149,8189,312,11490,6512,15555,16627
ABCD2,8217,12053,13131,994,12535,15225,14945
ABCD3,4339,4345,6160,12840,416,20454,18339
ABCD4,2609,5892,4442,11829,2706,19257,20363
ABCE1,17422,3591,18186,8179,15065,3050,7353
ABCF1,18558,12016,1247,5450,15378,13510,8905
ABCF2,20435,7116,15983,766,13688,10225,7731
ABCF3,16073,5502,40,8335,16480,13820,14972
ABCG1,8556,13731,3248,5867,13397,14621,14640
ABCG2,208,18613,14092,19439,9344,9186,6935
ABCG4,17858,17971,11519,6566,20001,1510,1718
ABCG5,16975,15232,12062,2102,19591,7069,4454
ABCG8,17366,6525,15565,6741,12739,5737,8980
ABHD1,8481,6263,2739,3833,5098,19755,19828
ABHD10,16101,5641,3453,7883,20185,2644,12911
ABHD11,9602,15704,383,4396,15839,12293,16992
ABHD12,19778,1844,16755,9408,13084,2292,9127
ABHD12B,6405,12274,12883,7551,12195,10664,14172
ABHD13,13679,15205,326,16159,9059,10502,9729
ABHD14A,18487,15069,9708,6124,20438,2024,2595
ABHD14B,1588,11202,6023,20039,897,12971,14905
ABHD15,538,7213,3976,16717,5298,16971,19433
ABHD16A,11191,3045,807,5432,9070,20587,16273
ABHD16B,8835,19989,17307,14129,11926,3166,1555
ABHD2,13938,14078,18678,8986,17646,1964,2143
ABHD3,2550,5833,3219,11121,3685,20528,19556
ABHD4,2717,8115,2948,9193,4104,20284,20098
ABHD5,9513,4721,19937,18859,6173,1886,5229
ABHD6,13253,18601,5875,2005,18892,16497,2355
ABHD8,19407,11595,16063,1288,18582,4626,5595
ABI1,6040,2767,16523,16904,3289,14949,10109
ABI2,16182,6760,17029,734,13391,9620,12394
ABI3,4090,17690,14008,16580,5660,5955,11184
ABI3BP,7029,18476,1782,17465,19253,1725,7586
ABL1,11921,6582,4841,5282,2937,18204,17056
ABL2,19765,15552,10670,1524,17595,4430,7417
ABLIM1,14011,14006,18324,16320,15301,320,553
ABLIM2,13642,15901,18212,1905,9881,1927,14325
ABLIM3,8826,18358,15006,16211,19662,613,495
ABO,10425,5870,9509,7175,8087,6687,19890
ABP1,3851,19718,20625,7782,11473,8869,2670
ABR,15792,16373,18404,5255,18524,3351,897
ABRA,7654,20296,13047,11379,8984,7021,6804
ABRACL,16395,13932,13517,8495,18692,5475,1253
ABT1,2313,4568,4039,16019,2043,18387,19203
ABTB1,6995,4437,294,11345,7714,18965,19173
ABTB2,929,4358,10520,18107,1015,17708,16526
ACAA1,12124,2533,352,8792,6782,17237,19632
ACAA2,1580,13617,1987,13367,1761,19998,18664
ACACA,9767,8263,20753,10426,2279,8389,7205
ACACB,5246,19224,9283,14508,5255,10189,11373
ACAD10,9626,3503,12023,958,8097,17687,18415
ACAD11,6116,977,6487,10306,5622,16930,20437
ACAD8,18787,9024,8935,969,19948,9682,7701
ACAD9,14021,9218,2602,722,16391,13870,16334
ACADL,7440,525,14896,9731,777,17045,19270
ACADM,3422,4746,2773,13611,1915,19232,20228
ACADS,6814,6270,1385,3404,9981,20034,19790
ACADSB,1071,8692,4133,17973,4933,16459,16523
ACADVL,620,12056,5514,17126,2045,18085,16644
ACAN,2680,20720,1152,15296,14037,13418,6380
ACAP1,19119,10436,13087,706,17543,6474,9815
ACAP2,1640,3050,4742,17286,3505,16592,19561
ACAP3,17237,8557,19151,3954,13083,8283,4790
ACAT1,20251,6507,17695,10013,16043,408,4019
ACAT2,17056,10577,15097,3720,10363,10291,8762
ACBD3,15240,17222,2335,15006,19281,5119,1020
ACBD4,15754,3322,6166,1977,19742,11686,12734
ACBD5,1309,13204,2079,16770,12114,8955,18330
ACBD6,8016,924,13711,12502,20622,12773,3437
ACBD7,1726,10281,6092,12771,4837,17203,18797
ACCS,6981,238,4034,18537,2892,12133,19586
ACCSL,8404,17999,4832,7620,10092,16378,10171
ACD,17234,2226,19614,2133,8569,12053,10616
ACE,18103,1209,6921,14502,5340,13806,10000
ACE2,2777,10847,1199,9748,6451,19503,19855
ACER1,5358,16083,4633,2132,12003,14417,19273
ACER2,9682,2576,9000,9159,6648,13428,17753
ACER3,2706,9438,2227,17044,7396,16908,14938
ACHE,17139,10725,16618,13755,14806,1277,2308
ACIN1,16592,5078,7844,3215,8957,16184,13289
ACLY,19573,12212,11346,511,16358,12250,6680
ACMSD,10725,11420,4710,18385,3554,14894,5286
ACN9,3111,1039,3340,15593,7563,16047,20378
ACO1,6507,16041,148,14998,4331,17833,14940
ACO2,6893,10779,20637,7520,7741,9541,8480
ACOT11,2436,12348,543,15534,6188,15259,19822
ACOT12,4550,6915,11196,18274,19778,4582,5532
ACOT13,215,13935,10129,18781,2897,13608,15090
ACOT2,16483,10360,3326,4968,20586,6715,7667
ACOT4,17638,13909,8620,11723,20319,636,2431
ACOT6,14512,11088,10320,335,13558,9133,16586
ACOT7,18064,14320,19005,6627,16107,3120,851
ACOT8,20615,11049,10182,4069,18497,5886,3537
ACOT9,5446,7774,1687,15883,608,19334,16947
ACOX1,11268,1892,15126,2533,3771,15927,18276
ACOX2,1011,4319,6331,19032,2207,17717,15932
ACOX3,16311,14662,913,8010,1459,16989,13868
ACOXL,14605,16733,10445,15204,5848,9421,2798
ACP1,1749,5558,14765,16712,650,15866,16352
ACP2,14537,7388,1935,877,15368,16040,15976
ACP5,7749,5035,6758,20742,5805,5148,8495
ACP6,6139,3323,2917,8692,5539,18854,20161
